ID;PROCESS_DEFINITION_KEY;VERSION;TASK_ID;FORM
5;acquisti;1;verifica-decisione;"<div class="col-lg-20 col-lg-offset-0 bg-info cnr-descrizione-task">Il Supporto alle Funzioni Direzionali verifica la correttezza della ‘Decisione a Contrattare’ con Nomina RUP. In caso di problemi rimanda i documenti al Responsabile Acquisti tramite l'azione 'Modifica', altrimenti inoltra i documenti alla firma del direttore tramite l'azione 'Approva'.</div> <div class="row text-center"></div> <div class="row"><label for="titolo">Scelta Utente</label><select type="text" ng-model="data.sceltaUtente" id="sceltaUtente" class="form-control" required> <option value="Modifica">Modifica</option> <option value="Approva">Approva</option> </select></div> <fileinput name="decisioneContrattare" label="Decisione a Contrattare" multiple=false accept=".doc,.docx,.pdf" cnr-required=false metadati-pubblicazione-urp="true"></fileinput> <fileinput name="relazioneTecnica" label="Relazione Tecnica" multiple=false accept=".pdf" metadati-pubblicazione-urp="true" metadati-protocollo="true" cnr-required=false></fileinput> <fileinput name="allegati" legend="Altri Allegati" multiple=true accept=".doc,.docx,.pdf,.jpg,.png,.tiff" metadati-pubblicazione="true" metadati-protocollo="true" cnr-required=false></fileinput> <div class="row" ng-if="data.sceltaUtente === 'Modifica' "><label for="commento">Commento</label><textarea type="textarea" ng-model="data.commento" ng-init="data.commento = ''" id="commento" class="form-control" rows="3" required></textarea></div> <div class="row" ng-if="data.sceltaUtente === 'Approva' "><label for="commento">Commento</label><textarea type="textarea" ng-model="data.commento" ng-init="data.commento = ''" id="commento" class="form-control" rows="3"></textarea> </div>"
6;acquisti;1;revoca-decisione;"<div class="col-lg-20 col-lg-offset-0 bg-info cnr-descrizione-task">Lo Staff Amministrativo Direzione ha il compito di verificare la volontà e la possibilità di annullamento della procedura. Se la procedura non deve essere revocata effettuando la scelta ‘Riproponi alla Firma’ il flusso tornerà al compito precedente. Se la revoca necessita di un Provvedimento di Revoca allora Lo Staff Amministrativo Direzione dovrà effettuare la scelta ‘Revoca con Provvedimento’, altrimenti ‘Revoca Semplice’ se non si necessita di un provvedimento di annullamento.</div> <div class="row"><label for="titolo">Scelta Utente</label><select type="text" ng-model="data.sceltaUtente" id="sceltaUtente" class="form-control" required> <option value="Annulla">Annulla Revoca</option> <option value="RevocaSemplice">Revoca</option> </select></div> <fileinput name="allegati" legend="Altri Allegati" multiple=true accept=".doc,.docx,.pdf,.jpg,.png,.tiff" metadati-pubblicazione="true" metadati-protocollo="true" cnr-required=false></fileinput> <div class="row" ng-if="data.sceltaUtente==='Annulla'"><label for="commento">Commento</label><textarea type="textarea " ng-model="data.commento" ng-init="data.commento = ''" id="commento" class="form-control" rows="3" required /></div><div class="row" ng-if="data.sceltaUtente==='RevocaSemplice'"><label for="commento">Commento</label><textarea type="textarea" ng-model="data.commento " id="commento" class="form-control" rows="3" /></div></div>"
7;acquisti;1;verifica-proposta-aggiudicazione;"<div class="row"><label for="titolo">Scelta Utente</label><select type="text"  ng-model="data.sceltaUtente" id="sceltaUtente" class="form-control" required><option value="Modifica">Modifica</option><option value="Valida">Valida</option></select></div><div class="row" ng-if="data.sceltaUtente === 'Modifica' "><label for="commento">Commento</label><textarea type="textarea" ng-model="data.commento" ng-init="data.commento = ''" id="commento" class="form-control" rows="3" required/></div><div class="row" ng-if="data.sceltaUtente === 'Valida' "><label for="commento">Commento</label><textarea type="textarea" ng-model="data.commento" ng-init="data.commento = ''" id="commento" class="form-control" rows="3" /></div>"
8;acquisti;1;firma-proposta-aggiudicazione;"<div class="row">  <label for="titolo">Scelta Utente</label>  <select type="text"  ng-model="data.sceltaUtente" id="sceltaUtente" class="form-control" required><option value="Modifica">Modifica</option><option value="Revoca">Revoca</option><option value="Firma">Firma</option>  </select></div><div class="row">  <label for="commento">Commento</label>  <textarea type="textarea" ng-model="data.commento" ng-init="data.commento = ''"  id="commento" class="form-control" rows="3" /></div>"
9;acquisti;1;predisposizione-revoca;"<div class="col-lg-20 col-lg-offset-0 bg-info cnr-descrizione-task">Lo Staff Amministrativo Direzione ha il compito di verificare la volontà e la possibilità di annullamento della procedura. Se la procedura non deve essere revocata effettuando la scelta ‘Riproponi alla Firma’ il flusso tornerà al compito precedente. Per la revoca Lo Staff Amministrativo Direzione dovrà effettuare la scelta ‘Revoca con Provvedimento’ caricando il Provvedimento di Revoca.</div> <div class="row text-center" /> <div class="row"><label for="titolo">Scelta Utente</label><select type="text" ng-model="data.sceltaUtente" id="sceltaUtente" class="form-control" required> <option value="Annulla">Annulla Revoca</option> <option value="RevocaConProvvedimento">Revoca con Provvedimento</option> </select></div> <div class="row"> <div class="row" ng-if="data.sceltaUtente === 'RevocaConProvvedimento'"> <fileinput name="ProvvedimentoDiRevoca" label="Provvedimento di Revoca" accept=".pdf" metadati-pubblicazione-urp="true" cnr-required=true></fileinput> </div> <fileinput name="allegati" legend="Altri Allegati" multiple=true accept=".doc,.docx,.pdf,.jpg,.png,.tiff" metadati-pubblicazione="true" metadati-protocollo="true" cnr-required=false></fileinput> <div class="row"><label for="commento">Commento</label><textarea type="textarea" ng-model="data.commento" ng-init="data.commento = ''" id="commento" class="form-control" rows="3" required /></div></div>"
11;acquisti;1;firma-revoca;"<div class="col-lg-20 col-lg-offset-0 bg-info cnr-descrizione-task">Il Direttore della Struttura ha il compito di visionare ed eventualmente firmare il Provvedimento di Revoca. Il Direttore potrà: 1) firmare scegliendo l'opzione 'Firma'. In questo caso verranno chieste le credenziali e l'otp per la firma digitale. Il formato del documento sottoposto alla firma deve essere pdf; 2) modificare direttamente i documenti (facendo l'upload del documento modificato tramite l'opzione del documento 'aggiorna') e poi procedere con la Firma; 3) Respingere i documenti rimandandoli allo Staff Amministrativo Direzione con un commento esplicativo tramite l'azione 'Modifica'</div> <div class="row"> <fileinput name="ProvvedimentoDiRevoca" label="Provvedimento di Revoca" accept=".pdf" metadati-pubblicazione-urp="true" cnr-required=true></fileinput> <fileinput name="allegati" legend="Altri Allegati" multiple=true accept=".doc,.docx,.pdf,.jpg,.png,.tiff" metadati-pubblicazione="true" metadati-protocollo="true" cnr-required=false></fileinput> </div> <div class="row"><label for="titolo">Scelta Utente</label><select type="text" ng-model="data.sceltaUtente" ng-switch="data.sceltaUtente" id="sceltaUtente" class="form-control" required> <option value="Modifica">Modifica</option> <option value="Firma">Firma</option> </select></div> <div ng-switch="data.sceltaUtente"> <div class="row" ng-switch-when="Firma"><label for="username">Username *</label><input type="text" ng-model="data.username" id="username" class="form-control" required /></div> <div class="row" ng-switch-when="Firma"><label for="password">Password *</label><input type="text" ng-model="data.password" id="password" ng-attr-type="{{ showPassword ? 'text' : 'password' }}" class="form-control" required /></div> <div class="row" ng-switch-when="Firma"><label for="otp">OTP *</label><input type="text" ng-model="data.otp" id="otp" ng-attr-type="{{ showPassword ? 'text' : 'password' }}" class="form-control" required /></div> <div class="row" ng-switch-when="Firma"><label for="commento">Commento per Revoca</label><textarea type="textarea" ng-model="data.commentoRevoca" id="commento" class="form-control" rows="3" required /></div><div class="row" ng-switch-when="Modifica"><label for="commento">Commento</label><textarea type="textarea" ng-model="data.commento" ng-init="data.commento = ''" id="commento" class="form-control" rows="3" /></div></div>"
16;acquisti;1;firma-decisione;"<div class="row text-center"> <div class="col-lg-20 col-lg-offset-0 bg-info cnr-descrizione-task">Il Direttore della Struttura ha il compito di visionare ed eventualmente firmare la ‘Decisione a Contrattare’ con ‘Nomina RUP’ sottoposte. Il Direttore potrà: 1) firmare scegliendo l'opzione 'Firma'. In questo caso verranno chieste le credenziali e l'otp per la firma digitale. Il formato del documento sottoposto alla firma deve essere pdf; 2) modificare direttamente i documenti (facendo l'upload del documento modificato tramite l'opzione del documento 'aggiorna') e poi procedere con la Firma; 3) Respingere i documenti rimandandoli al Responsabile Acquisti con un commento esplicativo tramite l'azione ‘Modifica’; 4) decidere di annullare tutta la procedura terminando il flusso mediante l'azione 'Annulla'</div> </div> <fileinput name="decisioneContrattare" label="Decisione a Contrattare" multiple=false accept=".doc,.docx,.pdf" metadati-pubblicazione-urp="true" cnr-required=false></fileinput> <fileinput name="relazioneTecnica" label="Relazione Tecnica" multiple=false accept=".pdf" metadati-pubblicazione="true" metadati-protocollo="true" cnr-required=false></fileinput> <fileinput name="allegati" legend="Altri Allegati" multiple=true accept=".doc,.docx,.pdf,.jpg,.png,.tiff" metadati-pubblicazione="true" metadati-protocollo="true" cnr-required=false></fileinput> <div class="row"><label for="titolo">Scelta Utente</label><select type="text" ng-model="data.sceltaUtente" id="sceltaUtente" ng-switch="data.sceltaUtente" class="form-control" required> <option value="Modifica">Modifica</option> <option value="Revoca">Revoca</option> <option value="Firma">Firma</option> </select></div> <div ng-switch="data.sceltaUtente"> <div class="row" ng-switch-when="Firma"><label for="username">Username *</label><input type="text" ng-model="data.username" id="username" class="form-control" required></div> <div class="row" ng-switch-when="Firma"><label for="password">Password *</label><input type="text" ng-model="data.password" id="password" ng-attr-type="{{ showPassword ? 'text' : 'password' }}" class="form-control" required></div> <div class="row" ng-switch-when="Firma"><label for="otp">OTP *</label><input type="text" ng-model="data.otp" id="otp" ng-attr-type="{{ showPassword ? 'text' : 'password' }} " class="form-control" required></div> <div class="row" ng-switch-when="Firma"><label for="commento">Nota Decisione a Contrattare</label><textarea type="textarea" ng-model="data.notaDecisioneContrattare" id="notaDecisioneContrattare" class="form-control" rows="3"></textarea></div> <div class="row" ng-switch-when="Revoca"><label for="commento">Nota per Revoca</label><textarea type="textarea" ng-model="data.notaRevoca" id="notaRevoca" class="form-control" rows="3" required></textarea></div> <div class="row" ng-switch-when="Firma"><label for="commento">Commento</label><textarea type="textarea" ng-model="data.commento" ng-init="data.commento = ''" id="commento" class="form-control" rows="3"></textarea></div> <div class="row" ng-switch-when="Modifica"><label for="commento">Commento</label><textarea type="textarea" ng-model="data.commento" ng-init="data.commento = ''" id="commento" class="form-control" rows="3" required></textarea></div> </div>"
17;acquisti;1;predisposizione-revoca-2;"<div class="col-lg-20 col-lg-offset-0 bg-info cnr-descrizione-task">Lo Staff Amministrativo Direzione ha il compito di verificare la volontà e la possibilità di annullamento della procedura. Se la procedura non deve essere revocata effettuando la scelta ‘Riproponi alla Firma’ il flusso tornerà al compito precedente. Per la revoca Lo Staff Amministrativo Direzione dovrà effettuare la scelta ‘Revoca con Provvedimento’ caricando il Provvedimento di Revoca.</div> <div class="row text-center" /> <div class="row"><label for="titolo">Scelta Utente</label><select type="text" ng-model="data.sceltaUtente" id="sceltaUtente" class="form-control" required> <option value="Annulla">Annulla Revoca</option> <option value="RevocaConProvvedimento">Revoca con Provvedimento</option> </select></div> <div class="row"> <div class="row" ng-if="data.sceltaUtente === 'RevocaConProvvedimento'"> <fileinput name="ProvvedimentoDiRevoca" label="Provvedimento di Revoca" multiple=false accept=".pdf" metadati-pubblicazione-urp="true" pubblicazione-trasparenza="true" cnr-required=true></fileinput> </div> <fileinput name="allegati" legend="Altri Allegati" multiple=true accept=".doc,.docx,.pdf,.jpg,.png,.tiff" metadati-pubblicazione="true" metadati-protocollo="true" cnr-required=false></fileinput> <div class="row"><label for="commento">Commento</label><textarea type="textarea" ng-model="data.commento" ng-init="data.commento = ''" id="commento" class="form-control" rows="3" required /></div></div>"
20;acquisti;1;revoca-stipula-mepa;"<div class="col-lg-20 col-lg-offset-0 bg-info cnr-descrizione-task">Lo Staff Amministrativo Direzione ha il compito di verificare la volontà e la possibilità di annullamento della procedura. Se la procedura non deve essere revocata effettuando la scelta ‘Riproponi alla Firma’ il flusso tornerà al Direttore. Per la revoca Lo Staff Amministrativo Direzione dovrà effettuare la scelta ‘Revoca con Provvedimento’ caricando il Provvedimento di Revoca.</div> <div class="row text-center"></div> <div class="row"><label for="titolo">Scelta Utente</label><select type="text" ng-model="data.sceltaUtente" id="sceltaUtente" class="form-control" required> <option value="Annulla">Annulla Revoca</option> <option value="RevocaConProvvedimento">Revoca con Provvedimento</option> </select></div> <div class="row" ng-if="data.sceltaUtente === 'RevocaConProvvedimento'"> <fileinput name="ProvvedimentoDiRevoca" label="Provvedimento di Revoca" accept=".pdf" metadati-pubblicazione-urp="true" cnr-required=true></fileinput> </div> <div class="row"> <fileinput name="allegati" legend="Altri Allegati" multiple=true accept=".doc,.docx,.pdf,.jpg,.png,.tiff" metadati-pubblicazione="true" metadati-protocollo="true" cnr-required=false></fileinput> </div> <div class="row" ng-if="data.sceltaUtente === 'Annulla' "><label for="commento">Commento</label><textarea type="textarea" ng-model="data.commento" ng-init="data.commento = ''" id="commento" class="form-control" rows="3" required></textarea></div> <div class="row" ng-if="data.sceltaUtente !== 'Annulla' "><label for="commento">Commento</label><textarea type="textarea" ng-model="data.commento" ng-init="data.commento = ''" id="commento" class="form-control" rows="3"></textarea></div>"
100;acquisti;1;start;"<div class="row text-center"> <div class="col-lg-20 col-lg-offset-0 bg-info cnr-descrizione-task">Lo Staff Amministrativo Direzione può avviare il flusso Acquisti. Lo Staff Amministrativo Direzione predispone la ‘Decisione a Contrattare’ e la ‘Nomina del RUP’ in formato word/pdf e li carica nel sistema insieme alla Relazione Tecnica e ad eventuali allegati; inserisce le informazioni richieste relativamente all’acquisizione e agli impegni; inserisce nel sistema il nominativo del RUP e la priorità del flusso. I dati verranno inoltrati al Supporto alle Funzioni Direzionali.</div> </div> <fileinput name="decisioneContrattare" label="Decisione a Contrattare" multiple=false accept=".doc,.docx,.pdf" pubblicazione-trasparenza="true" metadati-pubblicazione-urp="true" cnr-required=true></fileinput> <fileinput name="relazioneTecnica" label="Relazione Tecnica" multiple=false accept=".pdf" metadati-protocollo="true" metadati-pubblicazione-urp="true" cnr-required="true"></fileinput> <fileinput name="allegati" legend="Altri Allegati" multiple=true accept=".doc,.docx,.pdf,.jpg,.png,.tiff" metadati-pubblicazione="true" metadati-protocollo="true" cnr-required=false></fileinput> <div class="form-group"><label for="titolo">Titolo Acquisizione</label> <input type="text" ng-model="data.titolo" id="titolo" class="form-control" required></input> </div> <div class="form-group"><label for="descrizione">Descrizione Acquisizione</label><input type="text" ng-model="data.descrizione" id="descrizione" class="form-control" required></input></div> <div class="form-group"> <cnr-tree list-name="flussoAcquisti_tipologiaAcquisizione" label="Tipologia di Acquisizione" ng-model="data.tipologiaAcquisizione" ng-modelid="data.tipologiaAcquisizioneId" required></cnr-tree> </div> <div class="form-group"> <cnr-tree list-name="flussoAcquisti_strumentoAcquisizione" label="Strumento di Acquisizione" ng-model="data.strumentoAcquisizione" ng-modelid="data.strumentoAcquisizioneId" required></cnr-tree> </div> <subform multiple=true subform-name="impegni" label="Lista Impegni Provvisori" ng-model="data.impegni" required></subform> <div class="form-group"><label for="rup">Responsabile Unico del Procedimento (RUP)</label> <typeaheadinput type="users" id="rup" ng-model="data.rup" label-model="data.rup_label" ng-required="true"></typeaheadinput> </div> <div class="form-group"><label for="commento">Commento</label><textarea type="textarea" ng-model="data.commento" ng-init="data.commento = ''" id="commento" class="form-control" rows="3"></textarea></div>"
